Model,MAE,RMSE,R2
Random Forest,2.834715064202373,6.574651919334244,0.8992121170019569
Extra Trees,3.244194867640319,7.4368165014307035,0.8709872143744383
Tuned Random Forest,3.7837505585393045,8.302225708793936,0.8390000513623189
